Contract name,Proxy Contracts,ABI content
ProxyFactory,0x5BE34022c26FA03a8d6926314a42414c7ca2dF51,
GuardiansSafe,0xE0c5daa7CC6F88d29505f702a53bb5E67600e7Ec,
CUSD,0xfA2958CB79b0491CC627c1557F441eF849Ca8eb1,
USDC,0xfA2958CB79b0491CC627c1557F441eF849Ca8eb1,
ReserveToken,0xfA2958CB79b0491CC627c1557F441eF849Ca8eb1,
Identity,0x27a4a02C9ed591E1a86e2e5D05870292c34622C9,"═══════════════════════════════════
  EVENTS
═══════════════════════════════════
  AccountConnected(address indexed connected, address indexed to)
  AccountDisconnected(address indexed disconnected, address indexed from)
  AdminChanged(address previousAdmin, address newAdmin)
  BeaconUpgraded(address indexed beacon)
  BlacklistAdded(address indexed account)
  BlacklistRemoved(address indexed account)
  ContractAdded(address indexed account)
  ContractRemoved(address indexed account)
  Initialized(uint8 version)
  Paused(address account)
  RoleAdminChanged(bytes32 indexed role, bytes32 indexed previousAdminRole, bytes32 indexed newAdminRole)
  RoleGranted(bytes32 indexed role, address indexed account, address indexed sender)
  RoleRevoked(bytes32 indexed role, address indexed account, address indexed sender)
  Unpaused(address account)
  Upgraded(address indexed implementation)
  WhitelistedAdded(address indexed account)
  WhitelistedAuthenticated(address indexed account, uint256 timestamp)
  WhitelistedRemoved(address indexed account)

═══════════════════════════════════
  READ (view/pure)
═══════════════════════════════════
  DEFAULT_ADMIN_ROLE() → bytes32 [view]
  IDENTITY_ADMIN_ROLE() → bytes32 [view]
  PAUSER_ROLE() → bytes32 [view]
  TYPED_STRUCTURE() → string [view]
  addrToDID(address account) → string did [view]
  authenticationPeriod() → uint256 [view]
  avatar() → address [view]
  connectedAccounts(address —) → address [view]
  dao() → address [view]
  didHashToAddress(bytes32 —) → address [view]
  getRoleAdmin(bytes32 role) → bytes32 [view]
  getWhitelistedOnChainId(address account) → uint256 chainId [view]
  getWhitelistedRoot(address account) → address whitelisted [view]
  hasRole(bytes32 role, address account) → bool [view]
  identities(address —) → uint256 dateAuthenticated, uint256 dateAdded, string did, uint256 whitelistedOnChainId, uint8 status, uint32 authCount [view]
  isBlacklisted(address account) → bool [view]
  isDAOContract(address account) → bool [view]
  isRegistered() → bool [pure]
  isWhitelisted(address account) → bool [view]
  lastAuthenticated(address account) → uint256 [view]
  nameService() → address [view]
  nativeToken() → address [view]
  oldIdentity() → address [view]
  paused() → bool [view]
  proxiableUUID() → bytes32 [view]
  reverifyDaysOptions(uint256 —) → uint32 [view]
  shouldReverify(address account, uint256 daysSinceAuth) → bool [view]
  supportsInterface(bytes4 interfaceId) → bool [view]
  whitelistedContracts() → uint256 [view]
  whitelistedCount() → uint256 [view]

═══════════════════════════════════
  WRITE
═══════════════════════════════════
  addBlacklisted(address account)
  addContract(address account)
  addWhitelisted(address account)
  addWhitelistedWithDID(address account, string did)
  addWhitelistedWithDIDAndChain(address account, string did, uint256 orgChain, uint256 dateAuthenticated)
  authenticate(address account)
  authenticateWithTimestamp(address account, uint256 timestamp)
  connectAccount(address account)
  disconnectAccount(address connected)
  grantRole(bytes32 role, address account)
  initDAO(address _ns)
  initialize(address _owner, address _oldIdentity)
  pause(bool toPause)
  removeBlacklisted(address account)
  removeContract(address account)
  removeWhitelisted(address account)
  renounceRole(bytes32 role, address account)
  renounceWhitelisted()
  revokeRole(bytes32 role, address account)
  setDID(address account, string did)
  setReverifyDaysOptions(uint8[] options)
  updateAvatar()
  upgradeTo(address newImplementation)
  upgradeToAndCall(address newImplementation, bytes data) [payable]"
DAOCreator,0xa2B9993D198904e4bdCE48379FDff65405607F42,
FeeFormula,0xf4e9Af892A09F04B7408266777198206E7f80D46,"═══════════════════════════════════
  EVENTS
═══════════════════════════════════
  OwnershipTransferred(address indexed previousOwner, address indexed newOwner)

═══════════════════════════════════
  READ (view/pure)
═══════════════════════════════════
  getTxFees(uint256 _value, address _sender, address _recipient) → uint256, bool [view]
  isOwner() → bool [view]
  isRegistered() → bool [view]
  isRegistered(address scheme) → bool [view]
  owner() → address [view]
  percentage() → uint256 [view]
  senderPays() → bool [view]

═══════════════════════════════════
  WRITE
═══════════════════════════════════
  renounceOwnership()
  setAvatar(address _avatar)
  transferOwnership(address newOwner)"
NameService,0x1e5154Bf5e31FF56051bbd45958b879Fb7a290FE,"═══════════════════════════════════
  EVENTS
═══════════════════════════════════
  AddressChanged(string name, address addr)
  AdminChanged(address previousAdmin, address newAdmin)
  BeaconUpgraded(address indexed beacon)
  Initialized(uint8 version)
  Upgraded(address indexed implementation)

═══════════════════════════════════
  READ (view/pure)
═══════════════════════════════════
  addresses(bytes32 —) → address [view]
  dao() → address [view]
  getAddress(string name) → address [view]
  proxiableUUID() → bytes32 [view]

═══════════════════════════════════
  WRITE
═══════════════════════════════════
  initialize(address _dao, bytes32[] _nameHashes, address[] _addresses)
  setAddress(string name, address addr)
  setAddresses(bytes32[] hash, address[] addrs)
  upgradeTo(address newImplementation)
  upgradeToAndCall(address newImplementation, bytes data) [payable]"
Avatar,0x21eaC3fE218307BeE0463F77EBcA3b50F452C0Ce,"═══════════════════════════════════
  EVENTS
═══════════════════════════════════
  ExternalTokenApproval(address indexed _externalToken, address _spender, uint256 _value)
  ExternalTokenTransfer(address indexed _externalToken, address indexed _to, uint256 _value)
  ExternalTokenTransferFrom(address indexed _externalToken, address _from, address _to, uint256 _value)
  GenericCall(address indexed _contract, bytes _data, uint256 _value, bool _success)
  MetaData(string _metaData)
  OwnershipTransferred(address indexed previousOwner, address indexed newOwner)
  ReceiveEther(address indexed _sender, uint256 _value)
  SendEther(uint256 _amountInWei, address indexed _to)

═══════════════════════════════════
  READ (view/pure)
═══════════════════════════════════
  isOwner() → bool [view]
  nativeReputation() → address [view]
  nativeToken() → address [view]
  orgName() → string [view]
  owner() → address [view]

═══════════════════════════════════
  WRITE
═══════════════════════════════════
  externalTokenApproval(address _externalToken, address _spender, uint256 _value) → bool
  externalTokenTransfer(address _externalToken, address _to, uint256 _value) → bool
  externalTokenTransferFrom(address _externalToken, address _from, address _to, uint256 _value) → bool
  genericCall(address _contract, bytes _data, uint256 _value) → bool success, bytes returnValue
  metaData(string _metaData) → bool
  renounceOwnership()
  sendEther(uint256 _amountInWei, address _to) → bool
  transferOwnership(address newOwner)"
