Group,Contract Label,Chain,Address,Status,Scan Mode,Current Chain Tip,Days Since First Block,Historical Event Count (actual or estimated),Historical Count Is Estimated?,Daily Avg Events (last 7d),Historical L1 Size (GB),Daily Growth (MB/day),Monthly Growth (GB/month),Backfill via Streaming Insert USD ⚠️ AVOID,Backfill via Load Job USD ✅ USE THIS,Monthly Storage USD (now),1-Year Cumulative Storage USD,Daily L3 Mart Scan GB,Monthly Query Cost USD (before free tier),Notes / Warnings,Error
"G$ Token","GoodDollar ERC20 / Ethereum",ETHEREUM,0x67C5870b4A41D4Ebef24d2456547A03F1f3e094B,OK,quick (estimated),25022664,1989,568,YES,0,0.00040,0.000,0.00001,0.0020,0.0000,0.0000,0.0001,0.000,0.0000,,
"G$ Token","GoodDollar SuperGoodDollar / Celo",CELO,0x62B8B11039FcfE5aB0C56E502b1C372A3d2a9c7A,OK,quick (estimated),66009401,3068,30550086,YES,9959,21.38506,6.971,0.20913,106.9253,0.0000,0.4277,3.3834,0.000,0.0000,,
"G$ Token","GoodDollar SuperGoodDollar / XDC",XDC,0xEC2136843a983885AebF2feB3931F73A8eBEe50c,OK,quick (estimated),102206176,283,7764161,YES,27479,5.43491,19.235,0.57706,27.1746,0.0000,0.1087,1.3000,0.000,0.0000,,
"SUBTOTAL — G$ Token",,,,,,,,38314815,,37438,26.82037,26.206,0.78619,134.1019,0.0000,0.5364,4.6835,0.000,0.0000,,

"UBIScheme","UBIScheme / Celo",CELO,0x43d72Ff17701B2DA814620735C39C620Ce0ea4A1,OK,quick (estimated),66009413,2778,9514034,YES,3425,6.65982,2.397,0.07192,33.2991,0.0000,0.1332,1.0594,7.094,1.3301,,
"UBIScheme","UBIScheme / XDC",XDC,0x22867567E2D80f2049200E25C6F31CB6Ec2F0faf,OK,quick (estimated),102206181,161,2115884,YES,13140,1.48112,9.198,0.27593,7.4056,0.0000,0.0296,0.4539,3.146,0.5899,,
"SUBTOTAL — UBIScheme",,,,,,,,11629918,,16564,8.14094,11.595,0.34785,40.7047,0.0000,0.1628,1.5133,10.240,1.9199,,

"Invite","InviteContract / Celo",CELO,0x36829D1Cda92FFF5782d5d48991620664FC857d3,OK,quick (estimated),66009422,2750,0,YES,0,0.00000,0.000,0.00000,0.0000,0.0000,0.0000,0.0000,0.000,0.0000,,
"Invite","InviteContract / XDC",XDC,0x6bd698566632bf2e81e2278f1656CB24aAF06D2e,OK,quick (estimated),102206184,163,8967,YES,55,0.00628,0.038,0.00115,0.0314,0.0000,0.0001,0.0019,0.013,0.0025,,
"SUBTOTAL — Invite",,,,,,,,8967,,55,0.00628,0.038,0.00115,0.0314,0.0000,0.0001,0.0019,0.013,0.0025,,

"Identity","Identity / Ethereum",ETHEREUM,0x76e76e10Ac308A1D54a00f9df27EdCE4801F288b,OK,quick (estimated),25022666,1989,0,YES,0,0.00000,0.000,0.00000,0.0000,0.0000,0.0000,0.0000,0.000,0.0000,,
"Identity","Identity / Celo",CELO,0xC361A6E67822a0EDc17D899227dd9FC50BD62F42,OK,quick (estimated),66009425,3068,451825,YES,147,0.31628,0.103,0.00309,1.5814,0.0000,0.0063,0.0500,0.000,0.0000,,
"Identity","Identity / XDC",XDC,0x27a4a02C9ed591E1a86e2e5D05870292c34622C9,OK,quick (estimated),102206186,283,246707,YES,873,0.17269,0.611,0.01834,0.8635,0.0000,0.0035,0.0413,0.000,0.0000,,
"SUBTOTAL — Identity",,,,,,,,698532,,1020,0.48897,0.714,0.02143,2.4449,0.0000,0.0098,0.0913,0.000,0.0000,,

"Mento / Reserve & DeFi","Mento contracts (shared address) / Celo",CELO,0x94A3240f484A04F5e3d524f528d02694c109463b,OK,quick (estimated),66009430,2663,15215,YES,6,0.01065,0.004,0.00012,0.0533,0.0000,0.0002,0.0017,0.000,0.0000,"⚠️ Docs show same address for Reserve + ExpansionController + ExchangeProvider + Broker — verify individual addresses before prod ingestion",
