chain,chain_id,contract_name,category,provenance,proxy_address,implementation_address,implementation_name,era_index,era_count,valid_from_block,valid_to_block,is_live,creation_block,creation_method,era_method,era_evidence,era_announcement_event,abi_source,runtime_code_hash,semantics_note,source,notes
CELO,42220,AdminWallet,gooddollar_owned,published,0x7119cd89d4792af90277d84cdffa3f2ab22a0022,0xbfb5052aee113fc160c18ae85c9831dcd2b2fdc0,AdminWallet,1,5,18002976,21368263,false,18002976,explorer_index_and_state_read_agree,bisection_and_announcement_union,announcement_log_only,Upgraded(address),etherscan_v2_verified_source,0xc67787fd2231f7326a2527db40332b920f33840fe942296e17be56f6125ac589,abi_identical_bodies_unreviewed,measured_2026_09_24_union_of_published_artifact_onchain_registry_and_chain_index,eip1967 implementation slot
CELO,42220,AdminWallet,gooddollar_owned,published,0x7119cd89d4792af90277d84cdffa3f2ab22a0022,0x24614ad257f4d09fccaec024c65c40c060e73e9d,AdminWallet,2,5,21368263,21369184,false,18002976,explorer_index_and_state_read_agree,bisection_and_announcement_union,slot_bisection_and_announcement_log,Upgraded(address),etherscan_v2_verified_source,0xe21dd06280946f5040f63cbfa0ea2b2e35e000ae528828935dbbaed0244177d7,abi_identical_bodies_unreviewed,measured_2026_09_24_union_of_published_artifact_onchain_registry_and_chain_index,eip1967 implementation slot
CELO,42220,AdminWallet,gooddollar_owned,published,0x7119cd89d4792af90277d84cdffa3f2ab22a0022,0xae2cd2a9513215961d344a2581dcab678598eedf,AdminWallet,3,5,21369184,28227319,false,18002976,explorer_index_and_state_read_agree,bisection_and_announcement_union,slot_bisection_and_announcement_log,Upgraded(address),etherscan_v2_verified_source,0xae2e0d5cd6fc590c4b6ce659efebd29bb417c359076b8ecd7ec4adf389379c00,abi_identical_bodies_unreviewed,measured_2026_09_24_union_of_published_artifact_onchain_registry_and_chain_index,eip1967 implementation slot
CELO,42220,AdminWallet,gooddollar_owned,published,0x7119cd89d4792af90277d84cdffa3f2ab22a0022,0x703856db9a5432964f081ff4dc46480738fae7bd,AdminWallet,4,5,28227319,50872873,false,18002976,explorer_index_and_state_read_agree,bisection_and_announcement_union,slot_bisection_and_announcement_log,Upgraded(address),etherscan_v2_verified_source,0xf15f2e31e0c7251bd3babc7f23dccff946ca6582daa5f0eee7e19d3424823619,abi_identical_bodies_unreviewed,measured_2026_09_24_union_of_published_artifact_onchain_registry_and_chain_index,eip1967 implementation slot
CELO,42220,AdminWallet,gooddollar_owned,published,0x7119cd89d4792af90277d84cdffa3f2ab22a0022,0xfef0ef0916c5c7745b201dc9e2d04483b1eb36f1,AdminWallet,5,5,50872873,9223372036854775807,true,18002976,explorer_index_and_state_read_agree,bisection_and_announcement_union,slot_bisection_and_announcement_log,Upgraded(address),etherscan_v2_verified_source,0x28708bf9f584205831cdf5ff571feb8c3fe60d1759a4edc4953eb2ffe8b88430,abi_identical_bodies_unreviewed,measured_2026_09_24_union_of_published_artifact_onchain_registry_and_chain_index,eip1967 implementation slot
CELO,42220,Avatar,gooddollar_owned,published+registry,0x495d133b938596c9984d462f007b676bdc57ecec,0x495d133b938596c9984d462f007b676bdc57ecec,Avatar,1,1,17237959,9223372036854775807,true,17237959,explorer_index_and_state_read_agree,single_era_no_proxy_slot,contract_creation,none,etherscan_v2_verified_source,0x8a27316984da83331e574723efd0810faf4d7065f3037b8778d9c572ea49c6d8,abi_identical_bodies_unreviewed,measured_2026_09_24_union_of_published_artifact_onchain_registry_and_chain_index,plain contract. slots re-read at block 78286906
CELO,42220,BulkWhitelist,gooddollar_owned,published,0x30afd0534daa29135308d048103b40dc1ba4518d,0x30afd0534daa29135308d048103b40dc1ba4518d,BulkWhitelist,1,1,26952390,9223372036854775807,true,26952390,explorer_index_and_state_read_agree,single_era_no_proxy_slot,contract_creation,none,etherscan_v2_verified_source,0x60344a20cbd88bedbfd88cec885b62ad50c025de6de11abf30abf652d86ebbc4,abi_identical_bodies_unreviewed,measured_2026_09_24_union_of_published_artifact_onchain_registry_and_chain_index,plain contract. slots re-read at block 78286906
CELO,42220,BuyGDFactory,gooddollar_owned,published,0x00e533b7d6255d05b7f15034b1c989c21f51b91c,0x00e533b7d6255d05b7f15034b1c989c21f51b91c,BuyGDCloneFactory,1,1,21006324,9223372036854775807,true,21006324,explorer_index_and_state_read_agree,single_era_no_proxy_slot,contract_creation,none,etherscan_v2_verified_source,0x047ee7c00427bb66d4412b5748c158d3a8e3330166dd6e5a849ec2e4d9fc728c,abi_identical_bodies_unreviewed,measured_2026_09_24_union_of_published_artifact_onchain_registry_and_chain_index,plain contract. slots re-read at block 78286906
CELO,42220,BuyGDFactoryV2,gooddollar_owned,published,0x1f60c4c7037c6766924a43666b781ed1479587a2,0x1f60c4c7037c6766924a43666b781ed1479587a2,BuyGDCloneFactory,1,1,22909812,9223372036854775807,true,22909812,explorer_index_and_state_read_agree,single_era_no_proxy_slot,contract_creation,none,etherscan_v2_verified_source,0xb0deea380b10aaab11e12102a20b31fa11fd7ddfbed72761ad30cd6933e143b9,abi_identical_bodies_unreviewed,measured_2026_09_24_union_of_published_artifact_onchain_registry_and_chain_index,plain contract. slots re-read at block 78286906
CELO,42220,BUYGDFactoryV3,gooddollar_owned,published,0xb1c87d3270d4a23bc1fcca8be53af11e4773d89d,0xb1c87d3270d4a23bc1fcca8be53af11e4773d89d,BuyGDCloneFactory,1,1,72905831,9223372036854775807,true,72905831,explorer_index_and_state_read_agree,single_era_no_proxy_slot,contract_creation,none,etherscan_v2_verified_source,0x2c25daa8960a888e9b92aa463cfe8770a5b7afcf0d7359dcd1bf3b344c8be1a8,abi_identical_bodies_unreviewed,measured_2026_09_24_union_of_published_artifact_onchain_registry_and_chain_index,plain contract. slots re-read at block 78286906
